"","iso_code","location","year","month","day","total_vaccinations","people_vaccinated","people_fully_vaccinated"
"202","ARE","United Arab Emirates","2021","03","10",6367861,NA,NA
"203","GBR","United Kingdom","2021","03","10",24405231,23053716,1351515
"204","USA","United States","2021","03","10",95721290,62451150,32904161
"205","URY","Uruguay","2021","03","10",147752,147752,NA
"206","UZB","Uzbekistan","2021","03","10",NA,NA,NA
"207","VUT","Vanuatu","2021","03","10",NA,NA,NA
"208","VAT","Vatican","2021","03","10",NA,NA,NA
"209","VEN","Venezuela","2021","03","10",NA,NA,NA
"210","VNM","Vietnam","2021","03","10",955,955,NA
"211","OWID_WRL","World","2021","03","10",329811913,199834585,73214501
"212","YEM","Yemen","2021","03","10",NA,NA,NA
"213","ZMB","Zambia","2021","03","10",NA,NA,NA
"214","ZWE","Zimbabwe","2021","03","10",35901,35901,NA
